canonical_smiles,n_genes,ig_spearman_vs_cond_attn,ig_spearman_vs_pool_alpha,ig_cond_top20_overlap_n,ig_cond_top20_overlap_fraction,ig_cond_top20_jaccard,ig_pool_top20_overlap_n,ig_pool_top20_overlap_fraction,ig_pool_top20_jaccard
CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,268,0.04842688524712804,-0.08526620479325106,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,268,-0.053926100669120035,-0.17406971242114472,1,0.05,0.02564102564102564,1,0.05,0.02564102564102564
CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,268,0.2500157414340103,0.10341841604391891,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,268,0.2667178704863386,-0.009776521510903358,6,0.3,0.17647058823529413,1,0.05,0.02564102564102564
CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1,268,0.0001795458611873592,0.1940666327108869,0,0.0,0.0,2,0.1,0.05263157894736842
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,268,-0.07611497668085784,0.07165064365320965,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C,268,0.2379051237276713,-0.025206243956692038,5,0.25,0.14285714285714285,2,0.1,0.05263157894736842
CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,268,0.19172193832225612,-0.03566104983208098,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,268,0.11933066799164863,-0.13498045880201762,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1,268,0.10643329029635663,0.059364220624458015,5,0.25,0.14285714285714285,5,0.25,0.14285714285714285
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C=Cc4cnc5[nH]ccc5c4OC)c3)cc2C(F)(F)F)CC1,268,0.16317165270094952,-0.08595009996589874,4,0.2,0.1111111111111111,0,0.0,0.0
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(Oc4ccnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,268,0.17528476409980506,-0.008093902485400989,4,0.2,0.1111111111111111,3,0.15,0.08108108108108109
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,268,0.1524930379222055,-0.039034392383764306,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CCNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,268,0.1570702105362249,0.10873621533533617,4,0.2,0.1111111111111111,0,0.0,0.0
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,268,0.04747928209086141,-0.17416073219799666,2,0.1,0.05263157894736842,0,0.0,0.0
CCNc1cc(NC2CCC(O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1,268,0.09618296720731997,-0.02078492712495332,2,0.1,0.05263157894736842,3,0.15,0.08108108108108109
CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,268,0.18765908978976298,0.07495353939130212,1,0.05,0.02564102564102564,3,0.15,0.08108108108108109
CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12,268,0.09111079662877708,0.10583168697675314,2,0.1,0.05263157894736842,3,0.15,0.08108108108108109
CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,268,0.05487682094103227,-0.05203276462597418,1,0.05,0.02564102564102564,3,0.15,0.08108108108108109
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,268,0.21228118627446696,-0.0939199412486043,6,0.3,0.17647058823529413,0,0.0,0.0
CCOc1ccccc1NN=C1C(=O)N(c2nc(-c3ccccc3)cs2)N=C1C,268,0.14279943168747547,-0.0260372669878127,2,0.1,0.05263157894736842,2,0.1,0.05263157894736842
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,268,0.08605483505159138,-0.02384905180459176,3,0.15,0.08108108108108109,0,0.0,0.0
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,268,0.22793845816238548,-0.1335833675696535,4,0.2,0.1111111111111111,0,0.0,0.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,268,0.04801230886626139,-0.1577896408272326,5,0.25,0.14285714285714285,2,0.1,0.05263157894736842
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,268,0.015032601912537472,0.07205025787897734,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,268,0.029457366274180243,0.06332856830254972,5,0.25,0.14285714285714285,4,0.2,0.1111111111111111
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,268,-0.017134784703939473,-0.1208443393491587,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,268,-0.13401415295187732,-0.08769443788118425,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,268,0.023363405187005117,0.06361970690385006,3,0.15,0.08108108108108109,2,0.1,0.05263157894736842
CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,268,0.002277364690685497,-0.12412229816208625,0,0.0,0.0,0,0.0,0.0
CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,268,0.1284376330618741,-0.028348296527470826,3,0.15,0.08108108108108109,1,0.05,0.02564102564102564
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,268,0.2251006360786186,-0.0524305085823545,2,0.1,0.05263157894736842,0,0.0,0.0
CCc1cncnc1N1CCN(Cc2nc3ccc(C(F)(F)F)cc3[nH]2)CC1,268,0.1575708193089105,-0.04833898258592172,6,0.3,0.17647058823529413,1,0.05,0.02564102564102564
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,268,0.08781226485258846,-0.19779657329242845,4,0.2,0.1111111111111111,1,0.05,0.02564102564102564
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,268,-0.0020460747097809477,0.05656879131347148,2,0.1,0.05263157894736842,1,0.05,0.02564102564102564
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,268,-0.08789143958998706,-0.01827627245336327,1,0.05,0.02564102564102564,2,0.1,0.05263157894736842
