structure,pcc,model,seed
CCNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,0.3928021499025661,Global MLP,42
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)c1,0.4884547290401367,Global MLP,42
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,0.3793399782711598,Global MLP,42
CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,0.366469387411326,Global MLP,42
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,0.4064262221937188,Global MLP,42
COC(=O)CNC(=O)C(=O)OC,0.205149762252017,Global MLP,42
COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],0.193355629325444,Global MLP,42
COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,0.3317755876608289,Global MLP,42
COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)OC5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,0.5585662672733839,Global MLP,42
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)CC1C,0.3635413786354858,Global MLP,42
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.7979028913043722,Global MLP,42
CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,0.7294514069744533,Global MLP,42
C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,0.2576738991001603,Global MLP,42
Cc1cc(N2CC(C)NC(C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,0.53480110844767,Global MLP,42
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0.5375848062965578,Global MLP,42
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,0.5326268798173958,Global MLP,42
